Computer Name,Installed Applications - Windows
,Microsoft Access Runtime 2010 | 14.0.6029.1000
,Microsoft Application Virtualization Desktop Client | 4.6.1.20870
,Microsoft Application Virtualization Desktop Client | 4.6.2.24020
,Microsoft Conferencing Add-in for Microsoft Office Outlook | 8.0.6362.252
,Microsoft Lync - Welcome
,Microsoft Lync 2010 | 4.0.7577.4540
,Microsoft Office Live Meeting 2007 | 8.0.6362.281
,Microsoft Office Professional Plus 2010 | 14.0.6029.1000
,Microsoft Silverlight | 5.1.50907.0
,Microsoft Visio Viewer 2010 | 14.0.4763.1000
,Microsoft Visual C++ 2005 Redistributable (x64) | 8.0.50727.42
,Microsoft Visual C++ 2005 Redistributable (x64) | 8.0.61000
,Microsoft Visual C++ 2005 Redistributable | 8.0.61001
,Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148 | 9.0.30729.4148
,Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148 | 9.0.30729.4148
,Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161 | 9.0.30729.6161
,Microsoft Visual C++ 2010 x64 Redistributable - 10.0.40219 | 10.0.40219
,Microsoft Visual C++ 2010 x86 Redistributable - 10.0.40219 | 10.0.40219
,NAB FindPrinter 1.0.3.0 | 1.0.3.0
,Password Safe 3.43.0 for Windows (64-bit) | 3.43.0
,RSA DLP Endpoint Agent | 9.5.1100.10026
,Realtek High Definition Audio Driver | 6.0.1.5987
,Symantec Enterprise Vault Outlook Add-in 11.0.1.3683 | 11.0.7779
,xagt | 21.33.7
SYDWDSZHH62,AdmPwd - Local admin password management solution | 4.0.7.0
,Adobe Flash Player 21 ActiveX | 21.0.0.213
,Adobe Reader XI (11.0.15) | 11.0.15
,Adobe Shockwave Player 11.6 | 11.6.1.629
,Altiris Deployment Agent | 1.0.0
,Bloomberg API
,Bloomberg Office Tools (32-bit)
,Bloomberg Professional Service
,Bloomberg SFD Data Dictionary
,Cisco WebEx Meeting Center | 31.11.2.7
,Citrix Password Manager Plugin | 4.6.264.0
,Citrix online plug-in - web | 12.1.44.1
,CorpidFonts | 01.07.0002.0000
,CorpidFonts | 02.03.0009.0000
,Forefront Identity Manager Add-ins and Extensions | 4.1.2273.0
,IBM BigFix Client | 9.2.8.74
,IBM Glossary Anywhere 11.5 | 11.5
,IIS 8.0 Express | 8.0.1557
,IIS Express Application Compatibility Database for x64
,IIS Express Application Compatibility Database for x86
,ImpactScriptFonts | 01.00.0000.0000
,Intel(R) Processor Graphics | 9.18.10.3055
,Java(TM) 6 Update 27 | 6.0.270
,McAfee Agent | 4.8.0.1995
,McAfee Agent | 4.8.3300
,McAfee Host Intrusion Prevention | 8.00.0402
,McAfee VirusScan Enterprise | 8.8.04001
,Microsoft .NET Framework 4.5.2 | 4.5.51209
,Microsoft Access Runtime 2010 | 14.0.6029.1000
,Microsoft Application Virtualization Desktop Client | 4.6.1.20870
,Microsoft Application Virtualization Desktop Client | 4.6.2.24020
,Microsoft Conferencing Add-in for Microsoft Office Outlook | 8.0.6362.252
,Microsoft Lync - Welcome
,Microsoft Lync 2010 | 4.0.7577.4540
,Microsoft Office Live Meeting 2007 | 8.0.6362.281
,Microsoft Office Professional Plus 2010 | 14.0.6029.1000
,Microsoft Silverlight | 5.1.50907.0
,Microsoft Visio Viewer 2010 | 14.0.4763.1000
,Microsoft Visual C++ 2005 Redistributable (x64) | 8.0.50727.42
,Microsoft Visual C++ 2005 Redistributable (x64) | 8.0.61000
,Microsoft Visual C++ 2005 Redistributable | 8.0.61001
,Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148 | 9.0.30729.4148
,Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148 | 9.0.30729.4148
,Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161 | 9.0.30729.6161
,Microsoft Visual C++ 2010 x64 Redistributable - 10.0.40219 | 10.0.40219
,Microsoft Visual C++ 2010 x86 Redistributable - 10.0.40219 | 10.0.40219
,Microsoft Web Platform Installer 5.0 | 5.0.50430.0
,NAB FindPrinter 1.0.3.0 | 1.0.3.0
,Password Safe 3.43.0 for Windows (64-bit) | 3.43.0
,RSA DLP Endpoint Agent | 9.5.1100.10026
,Realtek High Definition Audio Driver | 6.0.1.5987
,Symantec Enterprise Vault Outlook Add-in 11.0.1.3683 | 11.0.7779
,xagt | 21.33.7
SYDWDT89HY1,AdmPwd - Local admin password management solution | 4.0.7.0
,Adobe Flash Player 21 ActiveX | 21.0.0.213
,Adobe Reader XI (11.0.15) | 11.0.15
,Adobe Shockwave Player 11.6 | 11.6.1.629
,Altiris Deployment Agent | 1.0.0
,Bloomberg API
,Bloomberg Keyboard v11.9 | v11.9
,Bloomberg Office Tools (32-bit)
,Bloomberg Professional Service
,Bloomberg SFD Data Dictionary
,Calypso Client - (p1-v14) | 14.2.225
,Cisco WebEx Meeting Center | 31.11.2.7
,Citrix Password Manager Plugin | 4.6.264.0
,Citrix online plug-in - web | 12.1.44.1
,CorpidFonts | 01.07.0002.0000
,CorpidFonts | 02.03.0009.0000
,Display Templates 12.81 for Reuters 3000 Xtra Suite 5 | 12.81.0000
,Forefront Identity Manager Add-ins and Extensions | 4.1.2273.0
,IBM BigFix Client | 9.5.5.196
,IBM Glossary Anywhere 11.5 | 11.5
,ImpactScriptFonts | 01.00.0000.0000
,Java(TM) 6 Update 27 | 6.0.270
,McAfee Agent | 4.8.0.1995
,McAfee Agent | 4.8.3300
,McAfee Host Intrusion Prevention | 8.00.0402
,McAfee VirusScan Enterprise | 8.8.04001
,Microsoft .NET Framework 4.5.2 | 4.5.51209
,Microsoft Access Runtime 2010 | 14.0.6029.1000
,Microsoft Application Virtualization Desktop Client | 4.6.1.20870
,Microsoft Conferencing Add-in for Microsoft Office Outlook | 8.0.6362.252
,Microsoft Lync 2010 | 4.0.7577.4540
,Microsoft Office Live Meeting 2007 | 8.0.6362.281
,Microsoft Office Professional Plus 2010 | 14.0.6029.1000
,Microsoft Silverlight | 5.1.20913.0
,Microsoft Visio Viewer 2010 | 14.0.4763.1000
,Microsoft Visual C++ 2005 Redistributable (x64) | 8.0.50727.42
,Microsoft Visual C++ 2005 Redistributable (x64) | 8.0.61000
,Microsoft Visual C++ 2005 Redistributable | 8.0.61001
,Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148 | 9.0.30729.4148
,Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148 | 9.0.30729.4148
,Microsoft Visual C++ 2010 x64 Redistributable - 10.0.40219 | 10.0.40219
,Microsoft Visual C++ 2010 x86 Redistributable - 10.0.40219 | 10.0.40219
,NAB FindPrinter 1.0.3.0 | 1.0.3.0
,Password Safe 3.43.0 for Windows (64-bit) | 3.43.0
,RSA DLP Endpoint Agent | 9.5.1100.10026
,RTEx for Reuters 3000 Xtra | 5.1.040
,Realtek High Definition Audio Driver | 6.0.1.5907
,Reuters 3000 Xtra Suite | 5.1.0703
,Reuters IOE Xtra | 3.3.1
,Reuters Indications Of Interest for 3000 Xtra 5.1 | 8.01.02
,Reuters Insertlink | 3.1.11110
,Reuters Multimedia News Object for 3000 Xtra | 3.0.16.207
,Symantec Enterprise Vault Outlook Add-in 11.0.1.3683 | 11.0.7779
,Thomson Reuters Eikon | 4.0.30572
,Thomson Reuters Messenger | 8.4.0.147
,WebEx Support Manager for Internet Explorer | 6.2
,Yieldbroker DEBTS | 4.0.0
,rwdsnewsfix | 1.0
,xagt | 21.33.7
SYDWDY48HY1,AdmPwd - Local admin password management solution | 4.0.7.0
,Adobe AIR Settings Manager | 1.5
,Adobe AIR | 21.0.0.198
,Adobe Flash Player 21 ActiveX | 21.0.0.213
,Adobe Reader XI (11.0.15) | 11.0.15
,Adobe Shockwave Player 11.6 | 11.6.1.629
,Altiris Deployment Agent | 1.0.0
,Barracuda OMS | 2.9.3
,Bloomberg API
,Bloomberg Keyboard v11.9 | v11.9
,Bloomberg Office Tools (32-bit)
,Bloomberg Professional Service
,Bloomberg SFD Data Dictionary
,Cisco WebEx Meeting Center | 31.11.2.7
,Citrix Password Manager Plugin | 4.6.264.0
,Citrix online plug-in - web | 12.1.44.1
,CorpidFonts | 01.07.0002.0000
,CorpidFonts | 02.03.0009.0000
,Display Templates 12.81 for Reuters 3000 Xtra Suite 5 | 12.81.0000
,FX Trading | 6.9.5.124
,Forefront Identity Manager Add-ins and Extensions | 4.1.2273.0
,IBM BigFix Client | 9.5.5.196
,IBM Glossary Anywhere 11.5 | 11.5
,IRESS Pro - 17.1 SP2 | 171.0.0200
,ImpactScriptFonts | 01.00.0000.0000
,Java(TM) 6 Update 27 | 6.0.270
,McAfee Agent | 4.8.0.1995
,McAfee Agent | 4.8.3300
,McAfee Host Intrusion Prevention | 8.00.0702
,McAfee VirusScan Enterprise | 8.8.07000
,Microsoft .NET Framework 4.6.2 | 4.6.01590
,Microsoft Access Runtime 2010 | 14.0.6029.1000
,Microsoft Application Virtualization Desktop Client | 4.6.1.20870
,Microsoft Conferencing Add-in for Microsoft Office Outlook | 8.0.6362.252
,Microsoft Lync 2010 | 4.0.7577.4540
,Microsoft Office Live Meeting 2007 | 8.0.6362.281
,Microsoft Office Professional Plus 2010 | 14.0.6029.1000
,Microsoft Silverlight | 5.1.20913.0
,Microsoft Visio Viewer 2010 | 14.0.4763.1000
,Microsoft Visual C++ 2005 Redistributable (x64) | 8.0.50727.42
,Microsoft Visual C++ 2005 Redistributable (x64) | 8.0.61000
,Microsoft Visual C++ 2005 Redistributable | 8.0.61001
,Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148 | 9.0.30729.4148
,Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148 | 9.0.30729.4148
,Microsoft Visual C++ 2010 x64 Redistributable - 10.0.40219 | 10.0.40219
,Microsoft Visual C++ 2010 x86 Redistributable - 10.0.40219 | 10.0.40219
,NAB FindPrinter 1.0.3.0 | 1.0.3.0
,Password Safe 3.43.0 for Windows (64-bit) | 3.43.0
,RSA DLP Endpoint Agent | 9.5.1100.10026
,RTEx for Reuters 3000 Xtra | 5.1.040
,Realtek High Definition Audio Driver | 6.0.1.5907
,Reuters 3000 Xtra Suite | 5.1.0703
,Reuters IOE Xtra | 3.3.1
,Reuters Indications Of Interest for 3000 Xtra 5.1 | 8.01.02
,Reuters Insertlink | 3.1.11110
,Reuters Multimedia News Object for 3000 Xtra | 3.0.16.207
,Symantec Enterprise Vault Outlook Add-in 11.0.1.3683 | 11.0.7779
,Thomson Reuters Eikon | 4.0.30572
,Thomson Reuters Messenger | 8.4.0.147
,WebEx Support Manager for Internet Explorer | 6.2
,rwdsnewsfix | 1.0
,xagt | 21.33.7
SYDWDZD1ZY1,AdmPwd - Local admin password management solution | 4.0.7.0
,Adobe AIR | 3.5.0.1060
,Adobe Flash Player 21 ActiveX | 21.0.0.213
,Adobe Reader XI (11.0.15) | 11.0.15
,Adobe Shockwave Player 11.6 | 11.6.1.629
,Altiris Deployment Agent | 1.0.0
,Autobahn Toolbar | 1.0.0.0
,Barracuda OMS | 2.9.3
,Bloomberg API
,Bloomberg Keyboard v11.9 | v11.9
,Bloomberg Office Tools (32-bit)
,Bloomberg Professional Service
,Bloomberg SFD Data Dictionary
,Cisco WebEx Meeting Center | 31.11.2.7
,Citrix Password Manager Plugin | 4.6.264.0
,Citrix online plug-in - web | 12.1.44.1
,CorpidFonts | 01.07.0002.0000
,CorpidFonts | 02.03.0009.0000
,Display Templates 12.81 for Reuters 3000 Xtra Suite 5 | 12.81.0000
,Forefront Identity Manager Add-ins and Extensions | 4.1.2273.0
,Google Chrome | 65.0.3325.181
,IBM BigFix Client | 9.5.5.196
,IBM Glossary Anywhere 11.5 | 11.5
,ImpactScriptFonts | 01.00.0000.0000
,Intel(R) MPI Library Runtime Environment 4.1 Update 1 for Windows* OS | 4.1.1.036
,J.P. Morgan Markets | 4.12.8
,Java 8 Update 121 | 8.0.1210.13
,Java(TM) 6 Update 27 | 6.0.270
,McAfee Agent | 4.8.0.1995
,McAfee Agent | 4.8.3300
,McAfee Host Intrusion Prevention | 8.00.0402
,McAfee VirusScan Enterprise | 8.8.04001
,Microsoft .NET Framework 4.5.2 | 4.5.51209
,Microsoft Access Runtime 2010 | 14.0.6029.1000
,Microsoft Application Virtualization Desktop Client | 4.6.1.20870
,Microsoft Conferencing Add-in for Microsoft Office Outlook | 8.0.6362.252
,Microsoft Lync 2010 | 4.0.7577.4540
,Microsoft Office Live Meeting 2007 | 8.0.6362.281
,Microsoft Office Professional Plus 2010 | 14.0.6029.1000
,Microsoft Silverlight | 5.1.20913.0
,Microsoft Visio Viewer 2010 | 14.0.4763.1000
,Microsoft Visual C++ 2005 Redistributable (x64) | 8.0.50727.42
,Microsoft Visual C++ 2005 Redistributable (x64) | 8.0.61000
,Microsoft Visual C++ 2005 Redistributable | 8.0.61001
,Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148 | 9.0.30729.4148
,Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148 | 9.0.30729.4148
,Microsoft Visual C++ 2010 x64 Redistributable - 10.0.40219 | 10.0.40219
,Microsoft Visual C++ 2010 x86 Redistributable - 10.0.40219 | 10.0.40219
,NAB FindPrinter 1.0.3.0 | 1.0.3.0
,NCaspar 3.8.8.5 | 3.8.8.5
,Password Safe 3.43.0 for Windows (64-bit) | 3.43.0
,RAgE Excel | 2.0.0.0
,RET Orderwatch 3.4.1022 SP1 | 3.4.0.1022
,RSA DLP Endpoint Agent | 9.5.1100.10026
,RTEx for Reuters 3000 Xtra | 5.1.040
,Realtek High Definition Audio Driver | 6.0.1.5907
,Reuters 3000 Xtra Suite | 5.1.0703
,Reuters IOE Xtra | 3.3.1
,Reuters Indications Of Interest for 3000 Xtra 5.1 | 8.01.02
,Reuters Insertlink | 3.1.11110
,Reuters Multimedia News Object for 3000 Xtra | 3.0.16.207
,Symantec Enterprise Vault Outlook Add-in 11.0.1.3683 | 11.0.7779
,TEX-PROD Platform - 360T TexApplet SSO Starter
,Thomson Reuters Eikon | 4.0.42144
,Thomson Reuters Messenger | 8.4.0.147
,UBS Neo | 1.4.570.24466
,UBS Neo | 1.4.589.17387
,Velocity 2.0 | 2.0.13878
,WebEx Support Manager for Internet Explorer | 6.2
,rwdsnewsfix | 1.0
,xagt | 21.33.7
SYDWF1RQD2S,.NET Core SDK 1.0.0 (x64) Installer (x64) | 1.0.0
,.NET Core SDK 1.0.4 (x64) | 1.0.4
,.NET Core SDK 1.1.0 (x64) | 1.1.0
,7-Zip 16.00 (x64) | 16.00
,AdmPwd - Local admin password management solution | 4.0.7.0
,Adobe Flash Player 16 NPAPI | 16.0.0.235
,Adobe Flash Player 21 ActiveX | 21.0.0.213
,Adobe Reader XI (11.0.08) | 11.0.08
,Adobe Shockwave Player 11.6 | 11.6.1.629
,Adobe Shockwave Player 12.1 | 12.1.5.155
,Altiris Deployment Agent | 1.0.0
,Application Insights Tools for Visual Studio 2015 | 7.0.20622.1
,Cisco WebEx Meeting Center | 31.11.2.7
,Citrix Password Manager Plugin | 4.6.264.0
,Citrix online plug-in - web | 12.1.44.1
,CorpidFonts | 01.07.0002.0000
,CorpidFonts | 02.03.0009.0000
,CutePDF Writer 3.0 | 3.0
,Entity Framework 6.1.3 Tools for Visual Studio 2015 Update 1 | 14.0.41103.0
,Entity Framework Designer for Visual Studio 2012 - enu | 11.1.20702.00
,FileZilla Client 3.17.0.1 | 3.17.0.1
,Forefront Identity Manager Add-ins and Extensions | 4.1.2273.0
,Git Extensions 2.50.02 | 2.50.02
,Git version 2.14.1 | 2.14.1
,Google Chrome | 65.0.3325.181
,HTML Help Workshop
,Helix Visual Components | 152.131.2139
,Hudson Tray Tracker
,IBM BigFix Client | 9.5.5.196
,IBM Glossary Anywhere 11.5 | 11.5
,IIS 10.0 Express | 10.0.1738
,ImpactScriptFonts | 01.00.0000.0000
,Intel(R) Processor Graphics | 8.15.10.2418
,Java 8 Update 151 | 8.0.1510.12
,Java(TM) 6 Update 27 | 6.0.270
,JetBrains ReSharper Ultimate in Visual Studio 2010 | 2016.1.2
,JetBrains ReSharper Ultimate in Visual Studio 2015 | 2016.1.2
,JetBrains ReSharper Ultimate in Visual Studio Professional 2017 | 2017.2.2
,JetBrains dotMemory 2017.2.2 | 2017.2.2
,JetBrains dotTrace 2017.2.2 | 2017.2.2
,Julia Language 0.5.0
,KDiff3 (remove only)
,McAfee Agent | 4.8.0.1995
,McAfee Agent | 4.8.3300
,McAfee VirusScan Enterprise | 8.8.04001
,Microsoft .NET Core SDK - 2.0.2 (x64) | 2.0.2
,Microsoft .NET Core SDK - 2.0.3 (x64) | 2.0.3
,Microsoft .NET Framework 4.5 Multi-Targeting Pack | 4.5.50710
,Microsoft .NET Framework 4.5 SDK | 4.5.50709
,Microsoft .NET Framework 4.5.1 Multi-Targeting Pack (ENU) | 4.5.50932
,Microsoft .NET Framework 4.5.1 Multi-Targeting Pack | 4.5.50932
,Microsoft .NET Framework 4.5.1 SDK | 4.5.51641
,Microsoft .NET Framework 4.5.2 Multi-Targeting Pack (ENU) | 4.5.51209
,Microsoft .NET Framework 4.5.2 Multi-Targeting Pack | 4.5.51651
,Microsoft .NET Framework 4.6 SDK | 4.6.00081
,Microsoft .NET Framework 4.6 Targeting Pack (ENU) | 4.6.00127
,Microsoft .NET Framework 4.6 Targeting Pack | 4.6.00081
,Microsoft .NET Framework 4.6.1 SDK | 4.6.01055
,Microsoft .NET Framework 4.6.1 Targeting Pack (ENU) | 4.6.01055
,Microsoft .NET Framework 4.6.1 Targeting Pack | 4.6.01055
,Microsoft .NET Framework 4.6.2 SDK | 4.6.01586
,Microsoft .NET Framework 4.6.2 Targeting Pack | 4.6.01586
,Microsoft .NET Framework 4.7 | 4.7.02053
,Microsoft .NET Version Manager (x64) 1.0.0-beta5 | 1.0.10609.0
,Microsoft ASP.NET MVC 3 | 3.0.50813.0
,Microsoft ASP.NET MVC 4 Runtime | 4.0.40804.0
,Microsoft ASP.NET Web Pages | 1.0.20105.0
,Microsoft Access Runtime 2010 | 14.0.6029.1000
,Microsoft Application Virtualization Desktop Client | 4.6.1.20870
,Microsoft Application Virtualization Desktop Client | 4.6.2.24020
,Microsoft Azure Authoring Tools - v2.9.5.3 | 2.9.8699.20
,Microsoft Azure Compute Emulator - v2.9.5.3 | 2.9.8699.20
,Microsoft Azure Libraries for .NET ? v2.9 | 3.0.0127.060
,Microsoft Azure Storage Emulator - v5.2 | 5.2.17193.1427
,Microsoft Conferencing Add-in for Microsoft Office Outlook | 8.0.6362.252
,Microsoft Help Viewer 1.1 | 1.1.40219
,Microsoft Help Viewer 2.0 | 2.0.50727
,Microsoft Help Viewer 2.2 | 2.2.25420
,Microsoft Help Viewer 2.3 | 2.3.26906
,Microsoft Identity Extensions | 2.0.1459.0
,Microsoft Lync 2010 | 4.0.7577.4540
,Microsoft ODBC Driver 11 for SQL Server | 12.2.5000.0
,Microsoft Office Professional Plus 2010 | 14.0.6029.1000
,Microsoft Report Viewer 2014 Runtime | 12.0.2000.8
,Microsoft SQL Server 2008 R2 Management Objects | 10.51.2500.0
,Microsoft SQL Server 2008 Setup Support Files | 10.3.5500.0
,Microsoft SQL Server 2012 (64-bit)
,Microsoft SQL Server 2012 Data-Tier App Framework | 11.0.2316.0
,Microsoft SQL Server 2012 Data-Tier App Framework | 11.1.2816.0
,Microsoft SQL Server 2012 Express LocalDB | 11.0.2100.60
,Microsoft SQL Server 2012 Management Objects (x64) | 11.0.2100.60
,Microsoft SQL Server 2012 Management Objects | 11.0.2100.60
,Microsoft SQL Server 2012 Native Client | 11.3.6518.0
,Microsoft SQL Server 2012 T-SQL Language Service | 11.0.2100.60
,Microsoft SQL Server 2012 Transact-SQL Compiler Service | 11.1.3000.0
,Microsoft SQL Server 2012 Transact-SQL ScriptDom | 11.1.3000.0
,Microsoft SQL Server 2014 (64-bit)
,Microsoft SQL Server 2014 Management Objects (x64) | 12.0.2000.8
,Microsoft SQL Server 2014 Management Objects | 12.0.2000.8
,Microsoft SQL Server 2014 Policies | 12.0.2000.8
,Microsoft SQL Server 2014 Setup (English) | 12.2.5000.0
,Microsoft SQL Server 2014 T-SQL Language Service | 12.0.2000.8
,Microsoft SQL Server 2014 Transact-SQL Compiler Service | 12.2.5000.0
,Microsoft SQL Server 2014 Transact-SQL ScriptDom | 12.2.5000.0
,Microsoft SQL Server 2016 LocalDB | 13.1.4001.0
,Microsoft SQL Server 2016 Management Objects (x64) | 13.0.1601.5
,Microsoft SQL Server 2016 Management Objects | 13.0.1601.5
,Microsoft SQL Server 2016 T-SQL Language Service | 13.0.14500.10
,Microsoft SQL Server 2016 T-SQL ScriptDom | 13.0.1601.5
,Microsoft SQL Server Compact 4.0 SP1 x64 ENU | 4.0.8876.1
,Microsoft SQL Server Data Tools - enu (11.1.20627.00) | 11.1.20627.00
,Microsoft SQL Server Data Tools - enu (14.0.60519.0) | 14.0.60519.0
,Microsoft SQL Server Data Tools Build Utilities - enu (11.1.20627.00) | 11.1.20627.00
,Microsoft SQL Server Data Tools ? Database Projects ? Web installer entry point | 10.3.20116.0
,Microsoft SQL Server System CLR Types (x64) | 10.50.1600.1
,Microsoft SQL Server System CLR Types | 10.51.2500.0
,Microsoft Silverlight 4 SDK | 4.0.60310.0
,Microsoft Silverlight | 5.1.50907.0
,Microsoft System CLR Types for SQL Server 2012 (x64) | 11.1.3000.0
,Microsoft System CLR Types for SQL Server 2012 | 11.0.2100.60
,Microsoft System CLR Types for SQL Server 2014 (x64) | 12.2.5000.0
,Microsoft System CLR Types for SQL Server 2014 | 12.0.2402.11
,Microsoft System CLR Types for SQL Server 2014 | 12.0.2402.29
,Microsoft System CLR Types for SQL Server 2016 | 13.0.1601.5
,Microsoft System CLR Types for SQL Server 2017 CTP2.1 | 14.0.600.250
,Microsoft VSS Writer for SQL Server 2014 | 12.2.5000.0
,Microsoft Visio Viewer 2010 | 14.0.4763.1000
,Microsoft Visual C++ 2005 Redistributable (x64) | 8.0.50727.42
,Microsoft Visual C++ 2005 Redistributable (x64) | 8.0.61000
,Microsoft Visual C++ 2005 Redistributable | 8.0.61001
,Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148 | 9.0.30729.4148
,Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148 | 9.0.30729.4148
,Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161 | 9.0.30729.6161
,Microsoft Visual C++ 2010 x64 Redistributable - 10.0.40219 | 10.0.40219
,Microsoft Visual C++ 2010 x86 Redistributable - 10.0.40219 | 10.0.40219
,Microsoft Visual C++ 2010 x86 Runtime - 10.0.40219 | 10.0.40219
,Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.60610 | 11.0.60610.1
,Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.60610 | 11.0.60610.1
,Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501 | 12.0.30501.0
,Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501 | 12.0.30501.0
,Microsoft Visual C++ 2017 Redistributable (x64) - 14.11.25325 | 14.11.25325.0
,Microsoft Visual C++ 2017 Redistributable (x86) - 14.11.25325 | 14.11.25325.0
,Microsoft Visual F# 4.0 | 14.0.23020.0
,Microsoft Visual Studio 2010 Shell (Integrated) - ENU | 10.0.40219
,Microsoft Visual Studio 2010 Shell (Isolated) - ENU | 10.0.40219
,Microsoft Visual Studio 2010 Tools for Office Runtime (x64) | 10.0.50903
,Microsoft Visual Studio 2017 | 1.12.111.1002
,Microsoft Visual Studio Code | 1.20.1
,Microsoft Visual Studio Professional 2015 with Updates | 14.0.25420.1
,Microsoft Visual Studio Tools for Applications Design-Time 3.0 | 10.0.40220
,Microsoft Visual Studio Tools for Applications x64 Runtime 3.0 | 10.0.40220
,Microsoft Visual Studio Tools for Applications x86 Runtime 3.0 | 10.0.40220
,Microsoft Web Deploy 3.6 | 10.0.1981
,Microsoft Web Deploy dbSqlPackage Provider - enu | 10.3.20225.0
,Microsoft Web Platform Installer 4.0 | 4.0.1622
,MongoDB 3.4.6 2008R2Plus SSL (64 bit) | 3.4.6
,MongoDB 3.6.3 2008R2Plus SSL (64 bit) | 3.6.3
,Mozilla Firefox 57.0.2 (x64 en-US) | 57.0.2
,Mozilla Maintenance Service | 57.0.2.6549
,NAB FindPrinter 1.0.3.0 | 1.0.3.0
,Node.js | 6.11.3
,Octave 4.2.1 | 4.2.1
,Password Safe 3.43.0 for Windows (64-bit) | 3.43.0
,PowerShell Prompt Here PowerToy
,Prerequisites for SSDT | 11.0.2100.60
,Prerequisites for SSDT | 12.0.2000.8
,Prerequisites for SSDT | 13.0.1601.5
,RSA DLP Endpoint Agent | 9.5.1100.10026
,Realtek High Definition Audio Driver | 6.0.1.5883
,RexPricerLive | 6.34.4.0
,RexPricerTest | 6.35.4.0
,SQL Server Browser for SQL Server 2014 | 12.2.5000.0
,Symantec Enterprise Vault Outlook Add-in 11.0.1.3683 | 11.0.7779
,Thomson Reuters Eikon | 4.0.42144
,TreeSize Free V3.0.1 | 3.0.1
,VirtualCloneDrive | 5.4.7.0
,Visual Studio 2010 Prerequisites - English | 10.0.40219
,WCF RIA Services V1.0 SP2 | 4.1.61829.0
,WinSCP 5.9.2 | 5.9.2
,Windows SDK AddOn | 10.1.0.0
